Incident_DateTime,Borough,Battalion,Incident_Classification,Cause_Fire_Description,Fire_Code_Category
07/18/2020 07:51:00 PM,Brooklyn,48,Outside Rubbish,Preliminary Investigation Only,Other
07/19/2020 12:40:32 AM,Bronx,15,MD Residential Structure,Incendiary,Incendiary
07/19/2020 02:24:30 AM,Manhattan,13,Other,Preliminary Investigation Only,Other
07/19/2020 08:00:00 AM,Brooklyn,31,No Fire,SIU Investigation,Other
07/19/2020 11:00:00 AM,Brooklyn,31,Other,Other - No Fire,No Fire
07/19/2020 01:59:23 PM,Brooklyn,38,Vehicle,Vehicle Wiring,Electrical
07/19/2020 02:51:14 PM,Bronx,27,MD Residential Structure,Other - Electrical,Electrical
07/19/2020 03:20:36 PM,Manhattan,11,Vehicle,Preliminary Investigation Only,Other
07/19/2020 08:16:51 PM,Brooklyn,43,Vehicle,Incendiary,Incendiary
07/19/2020 09:45:35 PM,Bronx,15,Vehicle,Heat or Sparks from Friction,Hot Objects
07/19/2020 11:05:15 PM,Queens,54,MD Residential Structure,Incendiary,Incendiary
07/19/2020 11:46:38 PM,Queens,53,PD Residential Structure,Stove/Cooking - Other,Cooking Carelessness
07/20/2020 01:53:59 AM,Bronx,14,Vehicle,Incendiary,Incendiary
07/20/2020 04:02:55 AM,Queens,53,PD Residential Structure,Other Appliance,Appliances
07/20/2020 08:56:46 AM,Manhattan,13,Vehicle,Preliminary Investigation Only,Other
07/20/2020 10:47:55 AM,Brooklyn,33,MD Residential Structure,Electrical Wiring,Electrical
07/20/2020 10:56:41 AM,Queens,47,No Fire,Preliminary Investigation Only,Other
07/20/2020 06:16:16 PM,Queens,46,Manhole,Feeder Cable,Electrical
07/20/2020 06:57:49 PM,Brooklyn,45,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
07/20/2020 11:41:45 PM,Bronx,20,Vehicle,Ignitable Liquids/Gases - Gasoline,Ignitable
07/21/2020 11:37:38 AM,Brooklyn,38,MD Residential Structure,Incense,Hot Objects
07/21/2020 01:12:57 PM,Bronx,18,MD Residential Structure,Candle,Open Flame
07/21/2020 01:28:15 PM,Brooklyn,57,MD Residential Structure,Incendiary - Combustible Material,Incendiary
07/21/2020 03:15:10 PM,Queens,46,MD Residential Structure,Incendiary - Attempted Suicide,Incendiary
07/21/2020 06:27:51 PM,Brooklyn,33,Commercial Structure,Electrical Wiring,Electrical
07/22/2020 03:25:00 AM,Bronx,18,Vehicle,Incendiary - Combustible Material,Incendiary
07/22/2020 04:26:00 AM,Bronx,17,Vehicle,Incendiary,Incendiary
07/22/2020 06:52:18 AM,Brooklyn,38,MD Residential Structure,Extension Cord,Electrical
07/22/2020 11:09:50 AM,Brooklyn,44,MD Residential Structure,Power Strip,Electrical
07/22/2020 01:43:45 PM,Staten Island,21,MD Residential Structure,Electrical Wiring,Electrical
07/22/2020 02:24:00 PM,Bronx,14,MD Residential Structure,Incendiary,Incendiary
07/22/2020 03:08:00 PM,Bronx,26,Vehicle,Preliminary Investigation Only,Other
07/22/2020 03:11:23 PM,Brooklyn,38,No Fire,Preliminary Investigation Only,Other
07/22/2020 03:16:02 PM,Queens,49,Public Hallway,Other - No Fire,No Fire
07/22/2020 03:27:44 PM,Brooklyn,28,MD Residential Structure,Service,Electrical
07/22/2020 05:22:56 PM,Manhattan,10,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
07/22/2020 06:00:00 PM,Manhattan,10,No Fire,Other - No Fire,No Fire
07/22/2020 07:28:06 PM,Bronx,18,PD Residential Structure,Lightning,Natural Sources
07/22/2020 07:35:05 PM,Queens,51,Religious Structure,Lightning,Natural Sources
07/22/2020 07:35:30 PM,Brooklyn,44,PD Residential Structure,Lightning,Natural Sources
07/22/2020 08:30:14 PM,Queens,52,Vehicle,Incendiary,Incendiary
07/22/2020 11:55:26 PM,Brooklyn,38,MD Residential Structure,Electrical Wiring,Electrical
07/23/2020 01:19:06 AM,Bronx,03,Vehicle,Incendiary,Incendiary
07/23/2020 03:49:53 AM,Bronx,20,MD Residential Structure,Incense,Hot Objects
07/23/2020 04:03:00 AM,Bronx,18,Vehicle,Incendiary,Incendiary
07/23/2020 05:49:56 AM,Brooklyn,43,MD Residential Structure,Electrical Wiring,Electrical
07/23/2020 08:00:00 AM,Bronx,03,Outside Rubbish,Incendiary - Combustible Material,Incendiary
07/23/2020 01:45:07 PM,Queens,50,MD Residential Structure,Exothermic Chemical Reaction,Other
07/23/2020 04:56:19 PM,Bronx,14,MD Residential Structure,Child Playing w/Matches/Lighter,Open Flame
07/23/2020 09:08:33 PM,Bronx,19,MD Residential Structure,Fuse/Circuit Breaker Panel,Electrical
07/23/2020 09:52:27 PM,Brooklyn,33,MD Residential Structure,Stove  - Natural Gas,Appliances
07/23/2020 11:01:39 PM,Brooklyn,35,MD Residential Structure,Electrical Wiring,Electrical
07/23/2020 11:04:04 PM,Staten Island,21,Burn Notification,Ignitable Liquids/Gases - Propane,Ignitable
07/24/2020 01:54:02 AM,Bronx,15,MD Residential Structure,Electrical Wiring,Electrical
