Case_Year,Incident_DateTime,Borough,Battalion,Community_District,Precinct,Incident_Classification,Cause_Fire_Description,Fire_Code_Category
2020,10/10/2020 02:00:15 PM,Manhattan,01,03,005,Vehicle,Preliminary Investigation Only,Other
2020,10/10/2020 02:06:14 PM,Bronx,,01,040,MD Residential Structure,Preliminary Investigation Only,Other
2020,10/10/2020 04:54:44 PM,Queens,45,02,108,MFA,MFA,No Fire
2020,10/10/2020 08:28:42 PM,Bronx,20,11,049,PD Residential Structure,Stove/Cooking - Electric,Cooking Carelessness
2020,10/10/2020 09:43:50 PM,Queens,46,04,110,PD Residential Structure,Incendiary,Incendiary
2020,10/10/2020 11:05:30 PM,Staten Island,21,01,120,Hospital,Smoking (Cigarette/Cigar),Smoking
2020,10/11/2020 12:19:08 AM,Bronx,03,02,041,Vehicle,Incendiary,Incendiary
2020,10/11/2020 04:48:00 AM,Brooklyn,37,04,083,PD Residential Structure,Electrical Wiring,Electrical
2020,10/11/2020 09:20:00 AM,Brooklyn,41,17,067,PD Residential Structure,Electrical Wiring,Electrical
2020,10/11/2020 10:47:21 AM,Manhattan,,05,018,Commercial Structure,Extension Cord,Electrical
2020,10/11/2020 10:55:00 AM,Queens,45,02,108,MFA,MFA,No Fire
2020,10/11/2020 02:53:55 PM,Brooklyn,31,02,084,MD Residential Structure,Child Playing w/ Other Open Flame,Open Flame
2020,10/11/2020 04:27:52 PM,Brooklyn,38,08,077,MD Residential Structure,Candle,Open Flame
2020,10/11/2020 05:14:00 PM,Queens,49,02,108,MFA,MFA,No Fire
2020,10/11/2020 07:03:49 PM,Manhattan,04,03,009,MD Residential Structure,Clothes Dryer - Electric,Appliances
2020,10/11/2020 07:36:00 PM,Brooklyn,38,09,071,MD Residential Structure,Not Ascertained,Other
2020,10/11/2020 11:17:47 PM,Bronx,,01,040,MD Residential Structure,Incendiary,Incendiary
2020,10/12/2020 09:45:52 AM,Manhattan,08,06,017,MD Residential Structure,Clothes Dryer,Appliances
2020,10/12/2020 10:54:29 AM,Manhattan,13,12,034,Commercial Structure,Electrical Wiring,Electrical
2020,10/12/2020 01:03:31 PM,Queens,54,13,105,PD Residential Structure,Torch - Legal Use of,Open Flame
2020,10/12/2020 04:51:50 PM,Queens,50,12,103,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2020,10/12/2020 06:13:57 PM,Manhattan,10,08,019,MD Residential Structure,Other - Electrical,Electrical
2020,10/13/2020 01:50:03 AM,Bronx,20,10,045,Vehicle,Incendiary,Incendiary
2020,10/13/2020 02:59:46 AM,Bronx,17,04,044,MD Residential Structure,Incendiary,Incendiary
2020,10/13/2020 06:27:39 AM,Bronx,14,01,040,MD Residential Structure,Incendiary,Incendiary
2020,10/13/2020 07:35:40 PM,Bronx,14,01,040,Commercial Structure,Fuse/Circuit Breaker Panel,Electrical
2020,10/13/2020 10:43:43 PM,Bronx,03,09,043,Commercial Structure,Electrical Wiring,Electrical
2020,10/14/2020 09:15:50 AM,Manhattan,09,05,014,Commercial Structure,Fuse/Circuit Breaker Panel,Electrical
2020,10/14/2020 02:04:13 PM,Brooklyn,39,05,075,MD Residential Structure,Ignitable Liquids/Gases - Natural Gas,Ignitable
2020,10/14/2020 02:19:00 PM,Queens,52,07,109,Hospital,Incendiary,Incendiary
2020,10/14/2020 05:33:03 PM,Queens,53,11,111,Garage/Shed,Electrical Wiring,Electrical
2020,10/14/2020 11:22:55 PM,Brooklyn,31,02,088,MD Residential Structure,Incense,Hot Objects
